time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-09 00:00:00+00:00,6,1,,
2025-11-10 00:00:00+00:00,7,6,11.0,3.0
2025-11-11 00:00:00+00:00,11,8,2.0,2.0
2025-11-12 00:00:00+00:00,9,7,27.0,4.0
2025-11-13 00:00:00+00:00,9,9,1.0,1.0
2025-11-14 00:00:00+00:00,13,8,5.0,4.0
2025-11-15 00:00:00+00:00,7,7,,
2025-11-16 00:00:00+00:00,4,4,1.0,1.0
2025-11-17 00:00:00+00:00,4,4,58.0,2.0
2025-11-18 00:00:00+00:00,4,4,2.0,2.0
2025-11-19 00:00:00+00:00,4,4,,
2025-11-20 00:00:00+00:00,4,4,24.0,4.0
2025-11-21 00:00:00+00:00,4,4,14.0,5.0
2025-11-22 00:00:00+00:00,4,4,1.0,1.0
