time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-12 00:00:00+00:00,7,5,18,4
2025-09-14 00:00:00+00:00,1,1,0,0
2025-09-15 00:00:00+00:00,9,9,4,2
2025-09-16 00:00:00+00:00,0,0,25,7
2025-09-17 00:00:00+00:00,2,2,0,0
2025-09-18 00:00:00+00:00,10,10,1,1
2025-09-19 00:00:00+00:00,4,4,2,1
2025-09-20 00:00:00+00:00,3,3,0,0
2025-09-21 00:00:00+00:00,1,1,0,0
2025-09-22 00:00:00+00:00,9,9,1,1
2025-09-23 00:00:00+00:00,7,3,4,3
2025-09-25 00:00:00+00:00,18,17,94,4
2025-09-26 00:00:00+00:00,9,9,20,4
2025-09-27 00:00:00+00:00,6,6,0,0
2025-09-28 00:00:00+00:00,2,2,2,2
2025-09-29 00:00:00+00:00,12,12,29,2
2025-09-30 00:00:00+00:00,8,8,14,3
2025-10-01 00:00:00+00:00,8,8,1,1
2025-10-02 00:00:00+00:00,20,19,2,2
2025-10-03 00:00:00+00:00,2,2,0,0
2025-10-04 00:00:00+00:00,6,6,2,2
2025-10-05 00:00:00+00:00,4,4,0,0
2025-10-06 00:00:00+00:00,12,12,17,6
2025-10-07 00:00:00+00:00,8,8,21,2
2025-10-08 00:00:00+00:00,4,4,47,5
2025-10-09 00:00:00+00:00,13,13,7,4
2025-10-10 00:00:00+00:00,4,4,10,4
2025-10-11 00:00:00+00:00,2,2,7,3
2025-10-12 00:00:00+00:00,2,2,5,3
2025-10-13 00:00:00+00:00,10,10,0,0
2025-10-14 00:00:00+00:00,3,3,9,4
2025-10-15 00:00:00+00:00,9,4,15,4
2025-10-16 00:00:00+00:00,18,13,16,1
2025-10-17 00:00:00+00:00,3,3,2,2
2025-10-18 00:00:00+00:00,9,7,0,0
2025-10-19 00:00:00+00:00,8,3,0,0
2025-10-20 00:00:00+00:00,10,10,4,3
2025-10-21 00:00:00+00:00,6,6,4,3
2025-10-22 00:00:00+00:00,10,5,13,3
2025-10-23 00:00:00+00:00,20,13,14,3
2025-10-24 00:00:00+00:00,14,9,80,4
2025-10-25 00:00:00+00:00,3,3,2,1
2025-10-26 00:00:00+00:00,12,7,6,2
2025-10-27 00:00:00+00:00,11,11,7,3
2025-10-28 00:00:00+00:00,7,7,13,2
2025-10-29 00:00:00+00:00,2,2,53,5
2025-10-30 00:00:00+00:00,18,13,3,3
2025-10-31 00:00:00+00:00,3,3,29,4
2025-11-01 00:00:00+00:00,9,4,1,1
2025-11-02 00:00:00+00:00,4,4,2,2
2025-11-03 00:00:00+00:00,11,5,19,5
2025-11-04 00:00:00+00:00,16,10,1,1
2025-11-05 00:00:00+00:00,15,8,18,4
2025-11-06 00:00:00+00:00,5,5,4,1
2025-11-07 00:00:00+00:00,12,7,13,2
2025-11-08 00:00:00+00:00,5,5,2,2
2025-11-09 00:00:00+00:00,9,4,0,0
2025-11-10 00:00:00+00:00,7,6,11,3
2025-11-11 00:00:00+00:00,11,8,2,2
2025-11-12 00:00:00+00:00,9,7,27,4
2025-11-13 00:00:00+00:00,9,9,1,1
2025-11-14 00:00:00+00:00,13,8,5,4
2025-11-15 00:00:00+00:00,7,7,0,0
2025-11-16 00:00:00+00:00,4,4,1,1
2025-11-17 00:00:00+00:00,4,4,58,2
2025-11-18 00:00:00+00:00,4,4,2,2
2025-11-19 00:00:00+00:00,4,4,0,0
2025-11-20 00:00:00+00:00,4,4,24,4
2025-11-21 00:00:00+00:00,4,4,14,5
2025-11-22 00:00:00+00:00,4,4,1,1
2025-11-23 00:00:00+00:00,5,5,7,2
2025-11-24 00:00:00+00:00,14,10,1,1
2025-11-25 00:00:00+00:00,7,6,2,2
2025-11-26 00:00:00+00:00,6,6,2,2
2025-11-27 00:00:00+00:00,4,4,1,1
2025-11-28 00:00:00+00:00,3,3,2,2
2025-11-29 00:00:00+00:00,8,7,0,0
2025-11-30 00:00:00+00:00,4,4,0,0
2025-12-01 00:00:00+00:00,31,11,22,6
2025-12-02 00:00:00+00:00,48,16,44,6
