#solve_number  reactors_solved            n_cpu            n_gpu     n_gpu_groups      n_steps_avg  n_steps_avg_cpu  n_steps_avg_gpu     max_time_cpu     max_time_gpu    step_time_cpu    step_time_gpu   max_time_total
            0               32               32                0                0              376              376                0          2.92819                0      0.000243366                0          2.92819
            1               32               32                0                0               68               68                0         0.857499                0      0.000394071                0         0.857499
            2               32               32                0                0               74               74                0         0.905392                0      0.000382345                0         0.905392
            3               32               32                0                0               91               91                0         0.946489                0      0.000325031                0         0.946489
            4               32               32                0                0              252              252                0          2.55078                0      0.000316317                0          2.55078
            5               32               32                0                0             1233             1233                0          10.2538                0       0.00025988                0          10.2538
            6               32               32                0                0               62               62                0         0.646937                0      0.000326077                0         0.646937
            7               32               32                0                0               47               47                0         0.570357                0      0.000379227                0         0.570357
            8               32               32                0                0               44               44                0         0.497671                0      0.000353459                0         0.497671
            9               32               32                0                0               42               42                0         0.532409                0      0.000396138                0         0.532409
