#solve_number  reactors_solved      n_steps_avg         max_time        step_time   max_time_total
            0               32              373          1.08609      9.07568e-05          1.08609
            1               32               65         0.300771      0.000144601         0.300771
            2               32               76         0.332788      0.000136837         0.332788
            3               32               87         0.396753      0.000142512         0.396753
            4               32              136         0.696334      0.000160003         0.696334
            5               32              739          3.02896      0.000128063          3.02896
            6               32               79         0.462652      0.000183011         0.462652
            7               32               47         0.326673      0.000213233         0.326673
            8               32               47         0.265218      0.000172893         0.265218
            9               32               44         0.214883      0.000152616         0.214883
