#solve_number  reactors_solved            n_cpu            n_gpu     n_gpu_groups      n_steps_avg  n_steps_avg_cpu  n_steps_avg_gpu     max_time_cpu     max_time_gpu    step_time_cpu    step_time_gpu   max_time_total
            0               32               32                0                0              160              160                0         0.127908                0       2.4982e-05                0         0.127908
            1               32               32                0                0               76               76                0        0.0385361                0      1.58454e-05                0        0.0385361
            2               32               32                0                0               80               80                0        0.0418739                0       1.6357e-05                0        0.0418739
            3               32               32                0                0               80               80                0        0.0409579                0      1.59992e-05                0        0.0409579
            4               32               32                0                0              124              124                0        0.0604439                0      1.52328e-05                0        0.0604439
            5               32               32                0                0              292              292                0         0.162443                0      1.73848e-05                0         0.162443
            6               32               32                0                0               84               84                0        0.0428121                0      1.59271e-05                0        0.0428121
            7               32               32                0                0               44               44                0         0.024785                0       1.7603e-05                0         0.024785
            8               32               32                0                0               25               25                0         0.014225                0      1.77813e-05                0         0.014225
            9               32               32                0                0               12               12                0       0.00913715                0      2.37947e-05                0       0.00913715
