        time[s],    volint[cm3],
    0.50000E-04,    0.99783E+03,
    0.55000E-03,    0.99826E+03,
    0.10500E-02,    0.99877E+03,
    0.15500E-02,    0.99900E+03,
    0.20500E-02,    0.99916E+03,
    0.25500E-02,    0.99925E+03,
    0.30500E-02,    0.99951E+03,
    0.35500E-02,    0.99962E+03,
    0.40500E-02,    0.99867E+03,
    0.45500E-02,    0.99628E+03,
    0.50500E-02,    0.99278E+03,
    0.55500E-02,    0.98752E+03,
    0.60500E-02,    0.98001E+03,
    0.65500E-02,    0.97069E+03,
    0.70500E-02,    0.95992E+03,
    0.75500E-02,    0.94690E+03,
    0.80500E-02,    0.93058E+03,
    0.85500E-02,    0.91143E+03,
    0.90500E-02,    0.89027E+03,
    0.95500E-02,    0.86598E+03,
    0.10050E-01,    0.83784E+03,
    0.10550E-01,    0.80670E+03,
    0.11050E-01,    0.77281E+03,
    0.11550E-01,    0.73570E+03,
    0.12050E-01,    0.69570E+03,
    0.12550E-01,    0.65401E+03,
    0.13050E-01,    0.61118E+03,
    0.13550E-01,    0.56706E+03,
    0.14050E-01,    0.52166E+03,
    0.14550E-01,    0.47534E+03,
    0.15050E-01,    0.42859E+03,
    0.15550E-01,    0.38229E+03,
    0.16050E-01,    0.33838E+03,
    0.16550E-01,    0.29891E+03,
    0.17050E-01,    0.26500E+03,
    0.17550E-01,    0.23500E+03,
    0.18050E-01,    0.20795E+03,
    0.18550E-01,    0.18338E+03,
    0.19050E-01,    0.16045E+03,
    0.19550E-01,    0.13888E+03,
    0.20050E-01,    0.11800E+03,
    0.20550E-01,    0.10267E+03,
    0.21050E-01,    0.93781E+02,
    0.21550E-01,    0.89286E+02,
    0.22050E-01,    0.89204E+02,
    0.22550E-01,    0.90041E+02,
    0.23050E-01,    0.90630E+02,
    0.23550E-01,    0.91150E+02,
    0.24050E-01,    0.91678E+02,
    0.24550E-01,    0.92033E+02,
    0.25050E-01,    0.92328E+02,
    0.25550E-01,    0.92640E+02,
    0.26050E-01,    0.92861E+02,
    0.26550E-01,    0.93076E+02,
    0.27050E-01,    0.93337E+02,
    0.27550E-01,    0.93590E+02,
    0.28050E-01,    0.93772E+02,
    0.28550E-01,    0.93950E+02,
    0.29050E-01,    0.94137E+02,
    0.29550E-01,    0.94343E+02,
    0.30050E-01,    0.94520E+02,
    0.30550E-01,    0.94667E+02,
    0.31050E-01,    0.94867E+02,
    0.31550E-01,    0.95028E+02,
    0.32050E-01,    0.95150E+02,
    0.32550E-01,    0.95315E+02,
    0.33050E-01,    0.95457E+02,
    0.33550E-01,    0.95590E+02,
    0.34050E-01,    0.95698E+02,
    0.34550E-01,    0.95818E+02,
    0.35050E-01,    0.95943E+02,
    0.35550E-01,    0.96021E+02,
    0.36050E-01,    0.96125E+02,
    0.36550E-01,    0.96234E+02,
    0.37050E-01,    0.96338E+02,
    0.37550E-01,    0.96403E+02,
    0.38050E-01,    0.96495E+02,
    0.38550E-01,    0.96584E+02,
    0.39050E-01,    0.96648E+02,
    0.39550E-01,    0.96721E+02,
    0.40050E-01,    0.96805E+02,
    0.40550E-01,    0.96886E+02,
    0.41050E-01,    0.96950E+02,
    0.41550E-01,    0.97016E+02,
    0.42050E-01,    0.97093E+02,
    0.42550E-01,    0.97165E+02,
    0.43050E-01,    0.97227E+02,
    0.43550E-01,    0.97304E+02,
    0.44050E-01,    0.97383E+02,
    0.44550E-01,    0.97441E+02,
    0.45050E-01,    0.97505E+02,
    0.45550E-01,    0.97572E+02,
    0.46050E-01,    0.97641E+02,
    0.46550E-01,    0.97703E+02,
    0.47050E-01,    0.97767E+02,
    0.47550E-01,    0.97837E+02,
    0.48050E-01,    0.97905E+02,
    0.48550E-01,    0.97965E+02,
    0.49050E-01,    0.98028E+02,
    0.49550E-01,    0.98101E+02,
    0.50050E-01,    0.98158E+02,
    0.50550E-01,    0.98223E+02,
    0.51050E-01,    0.98284E+02,
    0.51550E-01,    0.98341E+02,
    0.52050E-01,    0.98399E+02,
    0.52550E-01,    0.98459E+02,
    0.53050E-01,    0.98513E+02,
    0.53550E-01,    0.98573E+02,
    0.54050E-01,    0.98620E+02,
    0.54550E-01,    0.98672E+02,
    0.55050E-01,    0.98725E+02,
    0.55550E-01,    0.98777E+02,
    0.56050E-01,    0.98820E+02,
    0.56550E-01,    0.98881E+02,
    0.57050E-01,    0.98922E+02,
    0.57550E-01,    0.98959E+02,
    0.58050E-01,    0.99007E+02,
    0.58550E-01,    0.99049E+02,
    0.59050E-01,    0.99092E+02,
    0.59550E-01,    0.99129E+02,
    0.60050E-01,    0.99168E+02,
    0.60550E-01,    0.99213E+02,
    0.61050E-01,    0.99249E+02,
    0.61550E-01,    0.99281E+02,
    0.62050E-01,    0.99318E+02,
    0.62550E-01,    0.99366E+02,
    0.63050E-01,    0.99398E+02,
    0.63550E-01,    0.99440E+02,
    0.64050E-01,    0.99479E+02,
    0.64550E-01,    0.99512E+02,
    0.65050E-01,    0.99543E+02,
    0.65550E-01,    0.99576E+02,
    0.66050E-01,    0.99617E+02,
    0.66550E-01,    0.99653E+02,
    0.67050E-01,    0.99691E+02,
    0.67550E-01,    0.99728E+02,
    0.68050E-01,    0.99767E+02,
    0.68550E-01,    0.99804E+02,
    0.69050E-01,    0.99841E+02,
    0.69550E-01,    0.99880E+02,
    0.70050E-01,    0.99915E+02,
    0.70550E-01,    0.99957E+02,
    0.71050E-01,    0.99990E+02,
    0.71550E-01,    0.10002E+03,
    0.72050E-01,    0.10006E+03,
    0.72550E-01,    0.10010E+03,
    0.73050E-01,    0.10014E+03,
    0.73550E-01,    0.10018E+03,
    0.74050E-01,    0.10022E+03,
    0.74550E-01,    0.10025E+03,
    0.75050E-01,    0.10028E+03,
    0.75550E-01,    0.10032E+03,
    0.76050E-01,    0.10036E+03,
    0.76550E-01,    0.10039E+03,
    0.77050E-01,    0.10042E+03,
    0.77550E-01,    0.10045E+03,
    0.78050E-01,    0.10048E+03,
    0.78550E-01,    0.10051E+03,
    0.79050E-01,    0.10055E+03,
    0.79550E-01,    0.10058E+03,
    0.80050E-01,    0.10060E+03,
    0.80550E-01,    0.10063E+03,
    0.81050E-01,    0.10066E+03,
    0.81550E-01,    0.10068E+03,
    0.82050E-01,    0.10072E+03,
    0.82550E-01,    0.10073E+03,
    0.83050E-01,    0.10077E+03,
    0.83550E-01,    0.10079E+03,
    0.84050E-01,    0.10082E+03,
    0.84550E-01,    0.10084E+03,
    0.85050E-01,    0.10086E+03,
    0.85550E-01,    0.10089E+03,
    0.86050E-01,    0.10091E+03,
    0.86550E-01,    0.10093E+03,
    0.87050E-01,    0.10095E+03,
    0.87550E-01,    0.10099E+03,
    0.88050E-01,    0.10100E+03,
    0.88550E-01,    0.10103E+03,
    0.89050E-01,    0.10106E+03,
    0.89550E-01,    0.10108E+03,
    0.90050E-01,    0.10111E+03,
    0.90550E-01,    0.10112E+03,
    0.91050E-01,    0.10115E+03,
    0.91550E-01,    0.10117E+03,
    0.92050E-01,    0.10120E+03,
    0.92550E-01,    0.10122E+03,
    0.93050E-01,    0.10125E+03,
    0.93550E-01,    0.10127E+03,
    0.94050E-01,    0.10129E+03,
    0.94550E-01,    0.10132E+03,
    0.95050E-01,    0.10134E+03,
    0.95550E-01,    0.10137E+03,
    0.96050E-01,    0.10140E+03,
    0.96550E-01,    0.10142E+03,
    0.97050E-01,    0.10145E+03,
    0.97550E-01,    0.10148E+03,
    0.98050E-01,    0.10150E+03,
    0.98550E-01,    0.10153E+03,
    0.99050E-01,    0.10156E+03,
    0.99550E-01,    0.10159E+03,
    0.10005E+00,    0.10161E+03,
    0.10055E+00,    0.10164E+03,
    0.10105E+00,    0.10166E+03,
    0.10155E+00,    0.10169E+03,
    0.10205E+00,    0.10171E+03,
    0.10255E+00,    0.10174E+03,
    0.10305E+00,    0.10176E+03,
    0.10355E+00,    0.10179E+03,
    0.10405E+00,    0.10182E+03,
    0.10455E+00,    0.10184E+03,
    0.10505E+00,    0.10187E+03,
    0.10555E+00,    0.10190E+03,
    0.10605E+00,    0.10192E+03,
    0.10655E+00,    0.10195E+03,
    0.10705E+00,    0.10197E+03,
    0.10755E+00,    0.10199E+03,
    0.10805E+00,    0.10202E+03,
    0.10855E+00,    0.10204E+03,
    0.10905E+00,    0.10207E+03,
    0.10955E+00,    0.10209E+03,
    0.11005E+00,    0.10212E+03,
    0.11055E+00,    0.10214E+03,
    0.11105E+00,    0.10217E+03,
    0.11155E+00,    0.10219E+03,
    0.11205E+00,    0.10222E+03,
    0.11255E+00,    0.10225E+03,
    0.11305E+00,    0.10227E+03,
    0.11355E+00,    0.10230E+03,
    0.11405E+00,    0.10232E+03,
    0.11455E+00,    0.10235E+03,
    0.11505E+00,    0.10237E+03,
    0.11555E+00,    0.10240E+03,
    0.11605E+00,    0.10243E+03,
    0.11655E+00,    0.10245E+03,
    0.11705E+00,    0.10248E+03,
    0.11755E+00,    0.10251E+03,
    0.11805E+00,    0.10253E+03,
    0.11855E+00,    0.10256E+03,
    0.11905E+00,    0.10260E+03,
    0.11955E+00,    0.10262E+03,
    0.12005E+00,    0.10265E+03,
    0.12055E+00,    0.10268E+03,
    0.12105E+00,    0.10271E+03,
    0.12155E+00,    0.10274E+03,
    0.12205E+00,    0.10277E+03,
    0.12255E+00,    0.10280E+03,
    0.12305E+00,    0.10282E+03,
    0.12355E+00,    0.10285E+03,
    0.12405E+00,    0.10288E+03,
    0.12455E+00,    0.10291E+03,
    0.12505E+00,    0.10294E+03,
    0.12555E+00,    0.10297E+03,
    0.12605E+00,    0.10300E+03,
    0.12655E+00,    0.10303E+03,
    0.12705E+00,    0.10306E+03,
    0.12755E+00,    0.10309E+03,
    0.12805E+00,    0.10311E+03,
    0.12855E+00,    0.10315E+03,
    0.12905E+00,    0.10318E+03,
    0.12955E+00,    0.10320E+03,
    0.13005E+00,    0.10323E+03,
    0.13055E+00,    0.10326E+03,
    0.13105E+00,    0.10328E+03,
    0.13155E+00,    0.10332E+03,
    0.13205E+00,    0.10334E+03,
    0.13255E+00,    0.10337E+03,
    0.13305E+00,    0.10340E+03,
    0.13355E+00,    0.10343E+03,
    0.13405E+00,    0.10346E+03,
    0.13455E+00,    0.10348E+03,
    0.13505E+00,    0.10351E+03,
    0.13555E+00,    0.10354E+03,
    0.13605E+00,    0.10357E+03,
    0.13655E+00,    0.10360E+03,
    0.13705E+00,    0.10363E+03,
    0.13755E+00,    0.10365E+03,
    0.13805E+00,    0.10368E+03,
    0.13855E+00,    0.10371E+03,
    0.13905E+00,    0.10374E+03,
    0.13955E+00,    0.10377E+03,
    0.14005E+00,    0.10380E+03,
    0.14055E+00,    0.10382E+03,
    0.14105E+00,    0.10385E+03,
    0.14155E+00,    0.10388E+03,
    0.14205E+00,    0.10391E+03,
    0.14255E+00,    0.10394E+03,
    0.14305E+00,    0.10397E+03,
    0.14355E+00,    0.10400E+03,
    0.14405E+00,    0.10403E+03,
    0.14455E+00,    0.10406E+03,
    0.14505E+00,    0.10408E+03,
    0.14555E+00,    0.10411E+03,
    0.14605E+00,    0.10414E+03,
    0.14655E+00,    0.10417E+03,
    0.14705E+00,    0.10420E+03,
    0.14755E+00,    0.10423E+03,
    0.14805E+00,    0.10426E+03,
    0.14855E+00,    0.10429E+03,
    0.14905E+00,    0.10431E+03,
    0.14955E+00,    0.10434E+03,
    0.15005E+00,    0.10437E+03,
    0.15055E+00,    0.10440E+03,
    0.15105E+00,    0.10443E+03,
    0.15155E+00,    0.10446E+03,
    0.15205E+00,    0.10449E+03,
    0.15255E+00,    0.10452E+03,
    0.15305E+00,    0.10454E+03,
    0.15355E+00,    0.10456E+03,
    0.15405E+00,    0.10460E+03,
    0.15455E+00,    0.10462E+03,
    0.15505E+00,    0.10465E+03,
    0.15555E+00,    0.10468E+03,
    0.15605E+00,    0.10471E+03,
    0.15655E+00,    0.10474E+03,
    0.15705E+00,    0.10476E+03,
    0.15755E+00,    0.10479E+03,
    0.15805E+00,    0.10482E+03,
    0.15855E+00,    0.10485E+03,
    0.15905E+00,    0.10487E+03,
    0.15955E+00,    0.10491E+03,
    0.16005E+00,    0.10493E+03,
    0.16055E+00,    0.10496E+03,
    0.16105E+00,    0.10499E+03,
    0.16155E+00,    0.10501E+03,
    0.16205E+00,    0.10504E+03,
    0.16255E+00,    0.10507E+03,
    0.16305E+00,    0.10509E+03,
    0.16355E+00,    0.10513E+03,
    0.16405E+00,    0.10515E+03,
    0.16455E+00,    0.10518E+03,
    0.16505E+00,    0.10521E+03,
